Artist Name,Track Name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in ms,time_signature,Class
Nick Cave & The Bad Seeds,Deanna,-0.203,-0.772,1.178,0.003,0.75,0.755,0.11,-0.78,0.152,-0.328,-0.197,0.398,0.222,0.21,1
Soen,Lotus,0.261,-0.712,-1.104,-0.648,-0.354,-1.324,-0.627,-0.54,-0.571,-0.522,-1.462,1.121,1.1,0.21,10
Vani Jairam,Bole Re Papihara,-1.421,-1.025,0.188,-1.644,-0.409,-1.324,-0.281,1.355,-0.589,1.035,1.098,-1.134,-1.793,0.21,3
Liam Gallagher,Once,0.841,-0.923,-0.071,0.015,0.975,0.755,-0.509,-0.504,-0.168,-0.516,-0.896,-0.063,0.115,0.21,10
The Pretty Things,She's a Lover,-0.377,-0.628,0.562,-1.312,-0.374,0.755,-0.578,-0.782,-0.585,0.627,1.261,-1.278,0.101,0.21,6
Tha Dogg Pound,"New York, New York",0.667,1.706,-0.556,-1.312,0.774,0.755,2.66,-0.725,-0.589,-0.434,0.865,-1.196,0.801,0.21,5
BLAB,Casual Sex,-1.073,0.996,0.094,-1.312,0.083,0.755,-0.618,-0.681,-0.489,-0.988,0.89,0.249,-0.055,0.21,1
Mighty Sam McClain,When the Hurt Is Over,-0.203,0.238,-2.208,0.095,-1.945,0.755,0.817,1.381,-0.589,-0.497,0.195,1.129,1.525,-2.555,2
Trillary Banks,Last Man Standing,-0.551,0.966,-0.356,0.015,-0.351,0.755,4.048,0.129,-0.332,-0.359,0.94,0.683,-0.215,0.21,5
El Goodo,Feel so Fine,-0.841,-1.783,0.923,-1.312,1.199,0.755,0.207,-0.795,0.562,-0.466,-0.638,0.4,0.328,0.21,10
Keb' Mo',The Medicine Man [Feat. Old Crow Medicine Show],0.551,1.549,-0.11,0.095,0.372,0.755,-0.278,-0.251,-0.589,-0.651,1.177,-1.542,0.157,0.21,2
Why Bonnie,Athlete,-1.189,-0.027,-0.36,-0.648,-0.151,0.755,-0.621,-0.478,-0.585,0.527,-0.555,-0.696,-0.079,0.21,10
Snoop Dogg,Beautiful,1.073,2.187,0.137,1.675,0.406,-1.324,0.662,-0.003,-0.332,-0.725,1.977,-0.731,0.871,0.21,5
MOD SUN,Stay Away (feat. Machine Gun Kelly & Goody Grace),1.363,0.743,-0.114,0.679,0.554,0.755,0.027,-0.725,-0.168,-0.662,-1.391,1.198,-0.436,0.21,10
Turbo Knight,Rasengan,-0.087,-0.646,1.195,1.343,-0.017,0.755,-0.478,-0.784,3.031,-0.573,0.424,-0.427,0.954,0.21,6
The Black Crowes,Sometimes Salvation,-0.203,-1.067,-0.003,-0.648,0.74,0.755,-0.547,-0.787,-0.168,-0.859,-0.517,0.87,0.743,-2.555,10
"Britney Spears, will.i.am",Big Fat Bass (feat. will.i.am),-0.203,1.405,0.201,0.009,0.789,0.755,0.146,-0.7,-0.403,-0.026,0.778,0.248,-1.793,0.21,9
Radiohead,Burn the Witch,0.725,-0.021,0.783,1.675,0.343,0.755,-0.598,0.18,0.424,-0.548,0.557,0.89,0.177,0.21,10
Oceans,Shark Tooth,-0.145,-0.652,0.961,1.675,0.358,-1.324,-0.387,-0.795,-0.586,4.232,-0.592,-0.971,-0.021,0.21,8
Arctic Monkeys,R U Mine?,2.001,-1.536,0.405,0.015,0.548,-1.324,-0.51,-0.776,-0.168,0.671,0.553,-0.863,0.009,0.21,10
The Stranglers,Golden Brown,1.537,0.112,-1.189,0.015,-1.868,0.755,-0.59,-0.335,-0.127,-0.365,0.47,-0.976,0.054,-2.555,10
Itay Levi,השקט של שבת,-0.667,0.839,-1.342,-1.644,-0.613,0.755,-0.388,0.972,-0.403,-0.662,-0.205,-1.441,-0.385,0.21,9
Joe Bonamassa,Cradle Rock,-0.029,-0.797,1.05,-1.312,0.752,0.755,-0.485,-0.795,-0.586,-0.647,0.528,-0.539,0.261,0.21,10
LeRoi Thirteen,Stand up and Shout (Cover),-0.203,-0.321,1.322,0.679,0.893,0.755,0.422,-0.794,0.249,0.878,-0.954,-0.463,0.258,0.21,8
Us The Duo,drivers license,0.609,-1.019,-1.329,1.343,-0.882,0.755,1.152,1.918,-0.22,-0.051,-1.487,-1.629,-1.793,-8.086,0
Keller Williams,Right Here,-0.087,0.539,-1.992,0.679,-1.638,0.755,-0.081,2.054,0.916,-0.535,-0.271,0.702,1.318,0.21,2
Primal Scream,Movin' on Up,1.073,-0.123,0.413,-0.317,-1.118,0.755,-0.565,-0.464,-0.586,-0.814,0.395,-0.959,0.246,0.21,10
Lil Son Jackson,Upstairs Boogie,-0.551,0.298,-0.955,1.343,-1.368,-1.324,-0.619,2.047,-0.527,0.759,1.132,0.257,-0.573,-2.555,2
Drake,Passionfruit,2.117,1.597,-0.849,1.675,-0.856,0.755,-0.48,0.029,-0.272,-0.548,-0.509,-0.36,-1.793,0.21,9
Abstract Orchestra,New Day,0.029,1.23,-1.07,0.679,0.457,-1.324,-0.369,-0.624,-0.545,-0.51,-0.613,-1.038,-0.497,0.21,5
Luther Allison,Soul Fixin' Man,-1.827,-0.087,-0.288,-1.312,-1.429,0.755,-0.505,-0.722,-0.49,-1.027,1.169,0.406,-0.115,0.21,2
Elena Falwell,Elegi For Cello,-0.203,-2.264,-2.187,-0.083,-2.872,0.755,-0.539,2.279,2.751,-0.535,-1.858,-1.563,-1.793,-2.555,7
Sharon Van Etten,Comeback Kid,0.377,-0.003,1.123,-0.01,0.667,0.755,-0.05,-0.794,1.433,-1.027,-0.55,-0.085,-0.164,0.21,10
beabadoobee,"Don’t You (Forget About Me) - live from Abbey Road Studios, London",-0.203,0.605,0.97,-1.312,0.683,0.755,-0.324,-0.792,-0.559,-0.491,0.074,-0.427,0.346,0.21,10
R.E.M.,Drive,1.015,-0.46,-0.98,0.347,-0.949,0.755,-0.615,-0.232,-0.585,0.187,-1.033,0.677,0.63,0.21,10
FCG Heem,Shinin,-0.029,-0.177,-1.172,0.015,-0.889,-1.324,3.94,-0.553,-0.332,-0.928,-0.105,-1.302,-0.124,0.21,5
The Beatles,She's Leaving Home - Remastered,-0.371,-0.977,-1.907,-0.648,-0.918,0.755,-0.55,2.244,-0.22,-0.566,-0.388,0.168,-1.793,-2.555,0
Tom The Mail Man,Taking Over,0.899,1.315,-0.624,-0.317,-0.026,-1.324,0.206,-0.703,-0.332,-0.625,0.978,1.162,-0.382,0.21,5
ANSON,Ghost,-0.957,-1.121,1.191,-0.648,0.43,-1.324,0.255,-0.794,-0.168,-0.321,-0.018,0.832,0.08,0.21,10
Jimmy Eat World,All The Way (Stay),-0.377,0.196,1.14,0.347,1.339,0.755,-0.28,-0.793,-0.168,-0.334,1.036,0.384,0.402,0.21,10
dempsey hope,picture perfect,-2.406,0.4,-0.768,-0.317,-0.303,0.755,0.686,0.167,-0.403,-0.901,1.594,-1.657,-0.48,0.21,9
Howie Lee,Birdy Island,-1.189,-0.315,-0.675,-0.648,-1.4,-1.324,-0.276,1.217,2.368,0.162,-1.421,1.261,0.518,0.21,6
Pit Pony,Dutch Courage,-1.131,-2.565,1.076,-1.644,1.143,0.755,-0.089,-0.795,-0.219,0.143,-0.263,0.99,0.62,0.21,1
Niko B,Who's That What's That,1.073,1.904,0.022,0.347,-0.149,0.755,1.691,0.566,-0.589,-0.629,-1.038,0.185,0.351,0.21,9
Ruthi Navon,חשמל בכפות ידיך,-1.305,1.339,-0.581,1.343,-0.965,0.755,-0.485,1.729,-0.588,-0.68,1.864,0.643,0.333,0.21,10
Dan + Shay,Good Things,1.537,-0.087,-0.177,1.675,0.467,0.755,-0.6,-0.377,-0.403,-0.146,0.545,-0.86,-1.793,0.21,9
Gossip,Standing In the Way of Control,0.609,0.924,1.089,0.347,0.429,0.755,-0.607,-0.773,-0.358,0.043,1.902,-0.145,0.497,0.21,6
Gone Is Gone,Breaks,-0.957,-0.821,1.144,1.675,0.41,0.755,0.398,-0.784,0.7,0.206,-1.304,-0.665,0.308,0.21,8
Violent Soho,Covered in Chrome,0.609,0.124,0.383,-0.317,0.664,0.755,-0.436,-0.779,-0.589,-0.183,-0.301,0.996,0.105,0.21,10
Mr. Oizo,Positif,-0.029,1.206,1.127,1.343,0.564,-1.324,-0.361,-0.794,1.735,-0.403,0.087,0.013,-0.265,0.21,6
Cage The Elephant,Skin and Bones,1.189,-0.027,0.532,1.011,1.157,-1.324,-0.48,-0.767,-0.168,0.589,-0.538,1.264,-0.041,0.21,10
Carusella,Star Quality,-1.943,-0.676,1.293,-1.644,0.829,0.755,0.41,-0.79,-0.565,-0.34,-1.279,0.812,0.613,0.21,6
Faith No More,Falling to Pieces,0.143,0.009,1.089,-1.312,0.057,0.755,-0.376,-0.787,-0.57,-0.618,-0.417,-0.617,1.008,0.21,10
FLO,D's,1.247,-1.669,-1.567,0.347,-0.995,-1.324,-0.606,1.687,2.007,-0.56,-1.859,0.518,5.45,-2.555,9
Pathiena,The Deepest Of Sorrow,-0.261,0.611,-1.418,-1.312,-2.156,0.755,-0.452,-0.026,2.733,1.123,-1.258,0.185,-1.793,0.21,0
The Offspring,Coming for You,0.841,-0.213,1.059,-0.01,1.51,0.755,0.036,-0.795,-0.589,-0.812,0.195,0.567,0.249,0.21,10
Pain of Salvation,Meaningless,-0.145,0.214,-0.008,0.347,0.963,0.755,-0.449,-0.578,-0.587,0.671,-0.467,0.754,0.774,-2.555,10
Lenny Kravitz,Stand By My Woman,0.143,-0.135,-0.577,-1.312,0.38,0.755,-0.6,-0.496,-0.498,-0.566,-0.888,-0.012,0.526,0.21,10
Black Sabbath,Paranoid,-1.653,-0.706,-0.186,-0.648,-0.887,-1.324,-0.09,-0.795,-0.58,-0.164,-0.434,1.356,-1.793,0.21,10
The Dark Element,Songs the Night Sings,0.145,-0.568,0.812,-0.98,-0.087,0.755,-0.438,-0.795,-0.529,0.313,-0.326,0.998,0.974,0.21,8
Henry Gray,Let's Get High,-1.479,0.93,-0.228,0.095,0.227,0.755,-0.373,1.597,-0.224,-0.051,0.744,0.285,0.283,0.21,2
Eyal Golan,טעיתי,-0.377,-0.021,-1.01,-0.317,-0.412,-1.324,-0.334,0.582,-0.403,0.137,-1.029,-1.169,0.177,0.21,9
Noah Kahan,Young Blood - Acoustic,0.841,0.888,-1.834,1.675,-0.642,0.755,-0.39,1.828,-0.22,-0.585,-0.784,-1.267,-1.793,0.21,0
The First Edition,Just Dropped In (To See What Condition My Condition Was In),0.725,0.22,-0.475,1.011,-0.491,-1.324,-0.257,-0.213,-0.562,-0.29,0.124,-0.227,0.004,0.21,10
Alka Yagnik,Aaye Ho Meri Zindagi Mein - Female Version,-0.145,0.13,0.388,0.679,-0.92,-1.324,-0.542,1.387,-0.424,-0.757,1.814,0.419,-1.793,-2.555,3
Bryan Adams,I Think About You,-0.087,0.436,-0.475,0.347,0.158,0.755,-0.656,-0.296,-0.168,-0.61,0.549,-1.61,0.14,0.21,10
The Shins,Simple Song,1.015,0.015,0.914,0.347,0.685,0.755,-0.326,-0.753,0.152,-0.384,-0.567,-0.091,0.488,0.21,1
benny blanco,Care (with Omar Apollo),0.319,0.448,-1.902,-1.312,-1.208,0.755,-0.475,1.648,-0.553,-0.548,-1.133,-1.103,0.801,0.21,1
The 1975,She's American,0.725,0.575,0.834,-1.644,0.985,0.755,-0.291,-0.216,-0.587,-0.731,0.153,-0.225,0.619,0.21,10
Winger,Seventeen,0.899,0.202,0.056,0.679,-0.993,0.755,-0.601,-0.793,-0.589,-0.84,0.79,-0.901,0.398,0.21,8
Townes Van Zandt,Waitin' Around To Die,0.435,0.046,-1.826,0.015,-2.554,-1.324,-0.58,1.49,-0.585,-0.541,0.719,-1.118,-0.318,0.21,6
Piers Faccini,Bring Down The Wall,-0.957,-0.538,-1.172,-1.312,-0.555,-1.324,-0.455,0.512,-0.585,-0.74,0.832,-0.833,0.043,0.21,10
Athletic Progression,Stepney Tale,-0.435,0.533,0.583,-0.317,0.169,-1.324,1.846,0.966,-0.332,-0.309,0.041,-1.01,0.081,0.21,5
Thirty Seconds To Mars,Dangerous Night,0.667,-1.494,0.222,-1.312,0.34,0.755,-0.105,-0.789,-0.589,0.288,-1.017,-1.207,-0.009,0.21,10
Pete Rock & C.L. Smooth,Straighten It Out,0.319,1.363,-0.029,1.343,-0.805,-1.324,1.99,-0.441,-0.332,-0.734,1.256,-0.805,0.47,0.21,5
Peter Case,Bumble Bee,0.029,1.044,-1.775,0.347,-0.74,-1.324,-0.364,1.345,-0.588,1.186,0.066,-1.321,0.127,0.21,2
Menahan Street Band,Queens Highway,0.319,1.411,-1.121,-1.644,-0.265,0.755,0.073,-0.554,2.521,-0.585,-0.688,0.496,-1.188,0.21,1
Butcher Babies,Sleeping with the Enemy,0.203,-0.634,1.225,0.347,0.671,-1.324,-0.073,-0.795,0.279,0.973,-0.105,1.436,0.109,0.21,8
MICROCORPS,DOR,-2.001,-0.556,0.481,-0.98,-0.95,-1.324,-0.251,-0.629,2.029,-0.541,0.511,1.871,1.166,0.21,6
Sarah Palu,Ikivirta,-0.377,0.442,-1.223,-0.317,-0.983,-1.324,-0.572,1.593,1.322,-0.548,-1.537,0.993,1.668,0.21,1
Saltatio Mortis,Kaufmann und Maid,0.551,0.13,0.447,-1.312,0.637,-1.324,-0.497,-0.706,0.29,-0.777,0.39,0.047,0.207,0.21,8
JADHU,Fling,-0.725,0.461,0.732,1.011,0.296,-1.324,-0.572,0.083,-0.576,-0.522,0.886,-0.798,0.217,0.21,9
Bring Me The Horizon,Parasite Eve,1.421,0.274,0.57,1.011,0.604,0.755,0.841,-0.702,-0.589,1.174,-1.058,-0.681,0.813,0.21,10
Frost*,Day and Age - Edit,-0.377,-0.604,0.829,0.679,0.241,0.755,-0.501,-0.793,-0.58,-0.102,-0.609,1.6,0.9,0.21,8
Toto Espinoza,Frida Kahlo,-0.203,0.37,-2.128,-0.648,-1.24,-1.324,-0.531,2.36,2.759,-0.579,-1.5,-0.915,-1.793,-2.555,7
T-Bone Walker,Evil Hearted Woman - Alternate Take,-0.841,0.485,-1.711,-1.644,-0.921,0.755,-0.211,2.115,-0.491,-0.714,0.27,-2.422,-0.391,0.21,2
K. J. Yesudas,Do Din Ki Jawani - Adalat / Soundtrack Version,-2.174,-0.183,-0.02,0.015,0.179,-1.324,-0.209,0.853,-0.101,0.087,0.882,0.787,-1.793,0.21,3
Jimi Hendrix,Purple Haze,1.537,-0.063,1.029,-1.312,0.652,0.755,-0.052,-0.767,1.564,-0.794,-0.001,-0.464,-1.793,0.21,10
Eskiz,Aborjinin Türküsü,-1.363,0.268,0.358,0.347,0.456,0.755,-0.358,-0.422,-0.589,0.3,-0.929,0.522,0.431,0.21,10
Lowest Creature,Reapers Fool,-1.247,-0.339,1.327,1.675,0.725,0.755,0.303,-0.795,-0.521,0.03,0.166,0.586,0.011,0.21,8
Tomer Yeshayahu,בלי לעזוב,-0.841,0.467,-1.223,-0.317,-0.961,0.755,-0.598,1.461,-0.589,-0.466,0.091,0.338,0.169,0.21,9
Neon Trees,Animal,1.247,-0.369,0.706,-0.317,0.577,0.755,-0.431,-0.794,-0.168,1.142,1.052,0.858,0.103,0.21,10
JJ Lin,Bedroom (feat. Anne-Marie),1.421,-1.049,-1.014,0.347,0.612,0.755,-0.573,1.265,-0.403,-0.076,-1.271,1.927,0.029,0.21,9
Foreign Air,Monsters,0.319,0.052,0.043,1.011,0.744,-1.324,-0.597,-0.778,0.391,-0.516,-1.3,-1.103,0.208,0.21,6
S. P. Balasubrahmanyam,Mere Rang Mein Rangne Wali,-0.609,0.027,-1.342,0.347,-1.677,-1.324,-0.521,1.687,-0.582,-0.453,0.049,-0.165,-1.793,0.21,3
Scary Kids Scaring Kids,Holding On,0.261,-0.736,1.157,0.679,0.681,-1.324,-0.12,-0.794,-0.588,-0.604,-0.13,1.434,0.54,0.21,10
Lawrence of Arcadia,David Keenan,-0.841,-0.117,-1.388,-1.312,-0.03,0.755,-0.457,1.912,-0.584,-0.535,-0.117,-0.394,-1.793,2.975,0
Nirvana,In Bloom,1.189,-0.646,0.906,1.343,0.743,-1.324,-0.18,-0.795,-0.588,0.055,0.107,1.164,0.485,0.21,1
Berry Sakharof,77' - Acoustic Live,-1.595,-0.261,-0.819,-0.01,-0.021,0.755,-0.541,1.271,-0.399,0.501,-0.584,1.224,0.604,0.21,10
Breezie 311,Shots In The Dark,-0.725,0.972,0.396,1.011,0.651,-1.324,-0.457,-0.78,-0.168,-0.672,1.498,0.249,-0.526,0.21,10
Ghali,Combo (feat. Mr Eazi),-0.203,1.693,0.502,1.011,0.785,-1.324,0.327,-0.527,-0.589,0.401,1.356,-0.765,-0.221,0.21,9
Gwar,Sick of You,0.203,0.683,-0.543,-1.644,-0.446,0.755,-0.391,-0.794,-0.587,0.765,1.048,0.326,-0.106,0.21,8
